sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
584, 2171916093, -77.52735137939453, 41.65522003173828, -144.6577606201172, -6.267385482788086, -7.5425944328308105, 1.7295430898666382, -0.09048227965831757, -0.8118303418159485, 1.1171648502349854, 
585, 2171924426, -77.5210189819336, 41.6617431640625, -144.65878295898438, -5.992475509643555, -7.378872394561768, 1.6303373575210571, 0.7733962535858154, 0.02976374328136444, 2.2358155250549316, 
586, 2171932759, -77.5153579711914, 41.66808319091797, -144.6567840576172, -6.275624752044678, -6.973369598388672, 1.5155304670333862, 0.5734514594078064, -0.18015772104263306, 2.2984678745269775, 
587, 2171941092, -77.51834869384766, 41.67192840576172, -144.66253662109375, -6.8400702476501465, -6.6955671310424805, 1.4171184301376343, 0.032991133630275726, 0.3742239475250244, 1.8299065828323364, 
588, 2171949425, -77.52513885498047, 41.66290283203125, -144.66136169433594, -6.753513336181641, -7.136012554168701, 1.2737923860549927, -0.9205628633499146, -0.5799703598022461, 0.4992727041244507, 
589, 2171957758, -77.52661895751953, 41.65471649169922, -144.65773010253906, -6.47152042388916, -7.445029258728027, 1.6506544351577759, -0.53322434425354, -0.758629560470581, 0.6023699045181274, 
590, 2171966091, -77.52094268798828, 41.65713882446289, -144.65533447265625, -6.0285258293151855, -7.489859580993652, 1.6667429208755493, 0.545634388923645, -0.31493982672691345, 1.8446860313415527, 
591, 2171974424, -77.5134506225586, 41.66286849975586, -144.65257263183594, -6.036479949951172, -7.206799030303955, 1.6145292520523071, 0.6113861203193665, -0.3214970529079437, 2.215426206588745, 
592, 2171982757, -77.5174789428711, 41.66830062866211, -144.66542053222656, -6.590359210968018, -6.5574469566345215, 1.326107382774353, 0.2394418865442276, 0.7079775333404541, 1.9927619695663452, 
593, 2171991090, -77.51774597167969, 41.66364288330078, -144.66004943847656, -6.765724182128906, -7.014270782470703, 1.3783596754074097, -0.5272818207740784, -0.8203086853027344, 1.0498249530792236, 
